title,field,provider,closing_date,application_links,application_url,detail_page_url,source_page
"ETDP SETA Bursary South Africa 2024","Commerce","ETDP SETA","16 February 2024","mailto:ECbursary@etdpseta.org.za | mailto:FSbursary@etdpseta.org.za | mailto:GPbursary@etdpseta.org.za | mailto:KZNbursary@etdpseta.org.za | mailto:LPbursary@etdpseta.org.za | mailto:MPbursary@etdpseta.org.za | mailto:NCbursary@etdpseta.org.za | mailto:NWbursary@etdpseta.org.za | mailto:WCbursary@etdpseta.org.za | mailto: ECbursary@etdpseta.org.za | mailto: FSbursary@etdpseta.org.za | mailto: GPbursary@etdpseta.org.za | mailto: KZNbursary@etdpseta.org.za | mailto: LPbursary@etdpseta.org.za | mailto: MPbursary@etdpseta.org.za | mailto: NCbursary@etdpseta.org.za | mailto: NWbursary@etdpseta.org.za | mailto: WCbursary@etdpseta.org.za","https://www.zabursaries.co.za/general-bursaries-south-africa/etdp-seta-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/etdp-seta-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"FASSET Bursary South Africa 2026","Commerce; Government; NSFAS; Science","FASSET","28 February 2026","https://forms.office.com/pages/responsepage.aspx | https://fasset365-my.sharepoint.com/:f:/g/personal/surprise_majeke_fasset_org_za/IgBtdDRPTl4lTrdcRwYhNSegATk-Et3UmISkhGS_FC37_Zw","https://forms.office.com/pages/responsepage.aspx","https://www.zabursaries.co.za/accounting-bursaries-south-africa/fasset-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Fairtree Bursary South Africa 2025","Commerce; Science","FAIRTREE","25 November 2024","mailto:careers@fairtree.com | mailto: careers@fairtree.com","https://www.zabursaries.co.za/commerce-bursaries-south-africa/fairtree-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/fairtree-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Foskor Bursary South Africa 2025","Commerce; Law","FOSKOR","22 January 2025","mailto:bursariesphb@foskor.co.za | mailto: bursariesphb@foskor.co.za","https://www.zabursaries.co.za/engineering-bursaries-south-africa/foskor-bursary/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/foskor-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Grandslots Bursary South Africa 2021 - 2022","Commerce","Grandslots Bursary South Africa 2021 - 2022","","mailto:owildschutt@grandslots.co.za | mailto: owildschutt@grandslots.co.za","https://www.zabursaries.co.za/general-bursaries-south-africa/grandslots-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/grandslots-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Hollywood Foundation Bursary (Future is Bright) South Africa 2026","Commerce","HOLLYWOOD FOUNDATION / HOLLYWOODBETS","16 September 2025","https://hwfapplications.com/bursary-application-2025/","https://hwfapplications.com/bursary-application-2025/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/hollywoodbets-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Industrial Development Corporation (IDC) Bursary South Africa 2026","Commerce","IDC","30 September 2025","https://protected.idc.co.za/BursaryPortal/","https://protected.idc.co.za/BursaryPortal/","https://www.zabursaries.co.za/chumommerce-bursaries-south-africa/industrial-development-corporation-idc-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"INSETA Bursary South Africa 2022 - 2023","Commerce; Science","INSETA Bursary South Africa 2022 - 2023","30 November 2021","mailto:bursariesforyouth@inseta.org.za | mailto: bursariesforyouth@inseta.org.za","https://www.zabursaries.co.za/general-bursaries-south-africa/inseta-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/inseta-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Investec Bursary South Africa 2026","Commerce; Science","INVESTEC","5 October 2025","https://studytrust.devman.co.za/bursary/portal/investec-bursary-programme/ | https://studytrust.org.za/bursary-applications/","https://studytrust.devman.co.za/bursary/portal/investec-bursary-programme/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/investec-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Accenture Scholarship South Africa 2026","Computer Science & IT","Accenture Scholarship South Africa 2026","30 September 2025","https://accenture.wd103.myworkdayjobs.com/en-US/AccentureCareers/job/Midrand/Accenture-Education-Trust-Scholarship-2026_R00269740 | https://accenture.wd3.myworkdayjobs.com/AccentureCareers/login","https://accenture.wd103.myworkdayjobs.com/en-US/AccentureCareers/job/Midrand/Accenture-Education-Trust-Scholarship-2026_R00269740","https://www.zabursaries.co.za/general-bursaries-south-africa/accenture-scholarship-south-africa/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Altron Bill Venter Academy Bursary South Africa 2021 - 2022","Computer Science & IT","Altron Bill Venter Academy Bursary South Africa 2021 - 2022","13 September 2019","mailto:bursaries@altron.co.za","https://www.zabursaries.co.za/engineering-bursaries-south-africa/altron-bill-venter-academy-bursary/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/altron-bill-venter-academy-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Amazon Bursary South Africa 2026","Computer Science & IT","AMAZON","5 October 2025","https://studytrust.devman.co.za/bursary/portal/amazon-recruitment/ | https://studytrust.org.za/bursary-applications/","https://studytrust.devman.co.za/bursary/portal/amazon-recruitment/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/amazon-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"AWS Skills Development Bursary South Africa 2026","Computer Science & IT; Postgraduate","AMAZON WEB SERVICES (AWS)","31 October 2025","https://studytrust.devman.co.za/bursary/portal/amazon-web/ | https://studytrust.org.za/bursary-applications/","https://studytrust.devman.co.za/bursary/portal/amazon-web/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/aws-skills-development-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"BBD Bursary South Africa 2025 - 2026","Computer Science & IT","BBD","","https://bbdsoftware.com/jobs/bursary-beyond-programme/","https://bbdsoftware.com/jobs/bursary-beyond-programme/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/bbd-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"BET Software Bursary South Africa 2026","Computer Science & IT","BET SOFTWARE","16 September 2025","https://hwfapplications.com/dare-to-dream-bursary-application-2025/","https://hwfapplications.com/dare-to-dream-bursary-application-2025/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/bet-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Chris Hani District Municipality Bursary South Africa 2021 - 2022","Computer Science & IT; Government","Chris Hani District Municipality Bursary South Africa 2021 - 2022","31 March 2021","mailto:recruitment@chda.org.za | mailto: recruitment@chda.org.za","https://www.zabursaries.co.za/government-bursaries-south-africa/chris-hani-district-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/chris-hani-district-municipality-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Cisco Charitable Foundation Trust Bursary South Africa 2026","Computer Science & IT","CISCO CHARITABLE FOUNDATION TRUST","5 October 2025","https://studytrust.devman.co.za/bursary/portal/cisco/ | https://studytrust.org.za/bursary-applications/","https://studytrust.devman.co.za/bursary/portal/cisco/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/cisco-charitable-foundation-trust-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Columbus Stainless Bursary South Africa 2026","Computer Science & IT","COLUMBUS STAINLESS","","https://columbus.mcidirecthire.com/External/Job","https://columbus.mcidirecthire.com/External/Job","https://www.zabursaries.co.za/engineering-bursaries-south-africa/columbus-stainless-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"CSIR Bursary South Africa 2026","Computer Science & IT; Postgraduate","CSIR","29 August 2025","https://bursaryconnect.csir.co.za/","https://bursaryconnect.csir.co.za/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/csir-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"CSIR-SASOL Foundation Bursary South Africa 2026","Computer Science & IT; Engineering","CSIR &#038; SASOL FOUNDATION","29 August 2025","https://bursaryconnect.csir.co.za/","https://bursaryconnect.csir.co.za/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/csir-sasol-foundation-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"DSI-CSIR Bursary South Africa 2025","Computer Science & IT; Postgraduate; Medical","DSI & CSIR","","https://csir.auraams.app/Home/Index | https://www.csir.co.za/sites/default/files/Documents/2024%20CSIR%20IBS%20FAQ%27s.pdf","https://csir.auraams.app/Home/Index","https://www.zabursaries.co.za/mba-postgraduate/dsi-csir-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Games Global Bursary South Africa 2025","Computer Science & IT","GAMES GLOBAL","","https://careers.gamesglobal.com/jobs/1412","https://careers.gamesglobal.com/jobs/1412","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/games-global-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Gauteng Department of e-Government Bursary South Africa 2024","Computer Science & IT","GOVERNMENT","9 February 2024","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-department-of-e-government-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-department-of-e-government-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-department-of-e-government-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Generation Google Scholarship: Women in Computer Science South Africa 2024 - 2025","Computer Science & IT","GOOGLE","","https://myapp.iie.org/generationgoogle","https://myapp.iie.org/generationgoogle","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/generation-google-scholarship/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"HENSOLDT South Africa Bursary 2024","Computer Science & IT","HENSOLDT","20 October 2023","mailto:recruitment@hensoldt.net | mailto: recruitment@hensoldt.net","https://www.zabursaries.co.za/engineering-bursaries-south-africa/hensoldt-optronics-bursary/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/hensoldt-optronics-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Computer Science and IT Bursaries South Africa 2026","Computer Science & IT","Computer Science and IT Bursaries South Africa 2026","","https://s.w.org/images/core/emoji/17.0.2/72x72/ | https://s.w.org/images/core/emoji/17.0.2/svg/","https://s.w.org/images/core/emoji/17.0.2/72x72/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/hewlett-packard-enterprise-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"HP Inc Bursary South Africa 2026","Computer Science & IT","HP INC","31 October 2025","https://studytrust.devman.co.za/bursary/portal/hp-inc-bursaries/ | https://studytrust.org.za/bursary-applications/","https://studytrust.devman.co.za/bursary/portal/hp-inc-bursaries/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/hp-inc-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Huawei Technologies Bursary South Africa 2023","Computer Science & IT","HUAWEI TECHNOLOGIES","31 March 2023","mailto:sagraduate@huawei.com | mailto: sagraduate@huawei.com","https://www.zabursaries.co.za/engineering-bursaries-south-africa/huawei-technologies-bursary/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/huawei-technologies-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Investec Scholarship South Africa 2026","Computer Science & IT","Investec Scholarship South Africa 2026","30 September 2025","https://studytrust.devman.co.za/bursary/portal/investec-tech-scholarship/ | https://studytrust.org.za/bursary-applications/","https://studytrust.devman.co.za/bursary/portal/investec-tech-scholarship/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/investec-scholarship/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"ISFAP Bursary South Africa 2027","Computer Science & IT","ISFAP","31 October 2026","https://applyonline.isfap.org.za/ | https://applyonline.isfap.org.za/user/register | https://applyonline.isfap.org.za/user/login | https://applyonline.isfap.org.za/sites/default/files/cform/isfap-application_consent_form_v5.pdf","https://applyonline.isfap.org.za/","https://www.zabursaries.co.za/general-bursaries-south-africa/isfap-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"ITHUBA Bursary South Africa 2025","Computer Science & IT","ITHUBA HOLDINGS","30 November 2024","https://ithubalottery.co.za/application_portal/","https://ithubalottery.co.za/application_portal/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/ithuba-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Jurumani Solutions and Tangent Solutions Bursary South Africa 2024","Computer Science & IT","JURUMANI SOLUTIONS AND TANGENT SOLUTIONS","","https://careers.jurumani.co.za/jobs/jurumani-and-tangent-solutions-bursary-programme-BIP","https://careers.jurumani.co.za/jobs/jurumani-and-tangent-solutions-bursary-programme-BIP","https://www.zabursaries.co.za/engineering-bursaries-south-africa/jurumani-solutions-and-tangent-solutions-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Korbicom Education Trust Bursary South Africa 2024","Computer Science & IT","KORBICOM","10 November 2023","mailto:KET@korbicom.com | mailto: KET@korbicom.com","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/korbicom-education-trust-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/korbicom-education-trust-bursary/","https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/"
"Arup Education Trust Bursary South Africa 2025","Construction & Built Environment","ARUP","31 December 2024","https://arupedutrust.org/application-form/","https://arupedutrust.org/application-form/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/arup-education-trust-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Boogertman + Partners Bursary South Africa 2026","Construction & Built Environment","BOOGERTMAN + PARTNERS","30 November 2025","mailto:info@boogertman.com | https://boogertmanandpartners.com/wp-content/uploads/2018/02/Bursary-application-form-2025.pdf | mailto: info@boogertman.com","https://boogertmanandpartners.com/wp-content/uploads/2018/02/Bursary-application-form-2025.pdf","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/boogertman-partners-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Buffalo City Metropolitan Municipality Bursary South Africa 2026","Construction & Built Environment; Government","BUFFALO CITY METROPOLITAN MUNICIPALITY","31 October 2025","https://sassagrants.co.za/","https://sassagrants.co.za/","https://www.zabursaries.co.za/government-bursaries-south-africa/buffalo-city-metropolitan-municipality-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"CETA Thapelo Madibeng Bursary South Africa 2026","Construction & Built Environment","CETA","30 January 2026","https://indicium.ceta.org.za/Pages/OnlineRegistration/OnlineBursaryRegistration.aspx","https://indicium.ceta.org.za/Pages/OnlineRegistration/OnlineBursaryRegistration.aspx","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/construction-education-and-training-authority-ceta-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Department of Public Works Bursary South Africa 2021 - 2022","Construction & Built Environment","Department of Public Works Bursary South Africa 2021 - 2022","30 April 2017","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-public-works-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-public-works-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-public-works-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Eastern Cape Department of Transport Bursary South Africa 2024","Construction & Built Environment; Government","EASTERN CAPE DEPARTMENT OF TRANSPORT","28 February 2024","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-department-of-transport-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-department-of-transport-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-department-of-transport-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Eastern Cape Department of Public Works and Infrastructure Bursary South Africa 2023","Construction & Built Environment; Government","DEPARTMENT OF PUBLIC WORKS AND INFRASTRUCTURE","31 January 2023","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-dept-of-roads-and-public-works-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-dept-of-roads-and-public-works-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/eastern-cape-dept-of-roads-and-public-works-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"eThekwini Municipality Bursary South Africa 2025","Construction & Built Environment","ETHEKWINI MUNICIPALITY","17 April 2025","https://durbangov.graduate.erecruit.co/candidateapp/Jobs/View/ETH250401-3","https://durbangov.graduate.erecruit.co/candidateapp/Jobs/View/ETH250401-3","https://www.zabursaries.co.za/government-bursaries-south-africa/durban-ethekwini-municipality-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Fluor Bursary South Africa 2022 - 2023","Construction & Built Environment","Fluor Bursary South Africa 2022 - 2023","8 April 2022","mailto:henny.moraka@fluor.com | mailto: henny.moraka@fluor.com","https://www.zabursaries.co.za/engineering-bursaries-south-africa/fluor-bursary/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/fluor-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Gallagher Foundation Scholarship South Africa 2026","Construction & Built Environment; Education","Gallagher Foundation Scholarship South Africa 2026","31 July 2025","https://gallagherfoundation.tfaforms.net/26","https://gallagherfoundation.tfaforms.net/26","https://www.zabursaries.co.za/general-bursaries-south-africa/gallagher-foundation-scholarship/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Gauteng Dept of Infrastructure Development Bursary South Africa 2021 - 2022","Construction & Built Environment","Gauteng Dept of Infrastructure Development Bursary South Africa 2021 - 2022","","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-dept-of-infrastructure-development-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-dept-of-infrastructure-development-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-dept-of-infrastructure-development-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Institute for Landscape Architecture in South Africa (ILASA) Bursary 2026","Construction & Built Environment","ILASA","28 November 2025","https://www.tfaforms.com/5199406 | https://www.ilasa.co.za/download_file/view/8f37d5df-61b9-4beb-88e7-db0efac101b0/314 | https://www.ilasa.co.za/application/files/3817/6116/7105/ILASA_BURSARY_AGREEMENT_-_Oct_2025.pdf | https://www.ilasa.co.za/application/files/4617/6116/7105/ILASA_BURSARY_POLICY_-_Oct_2025.docx.pdf","https://www.tfaforms.com/5199406","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/ilasa-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Islamic Relief South Africa Bursary 2023","Construction & Built Environment","ISLAMIC RELIEF SA","","mailto:bursaries@islamic-relief.org.za | mailto: bursaries@islamic-relief.org.za","https://www.zabursaries.co.za/general-bursaries-south-africa/islamic-relief-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/islamic-relief-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Masakh’iSizwe (MiS) Bursary South Africa 2026","Construction & Built Environment","DEPARTMENT OF INFRASTRUCTURE","31 August 2025","https://wa-dtpw-misbursary-prod-zan.azurewebsites.net/ | https://wa-dtpw-misbursary-prod-zan.azurewebsites.net/Identity/Account/Register | https://wa-dtpw-misbursary-prod-zan.azurewebsites.net/Identity/Account/Login | https://www.westerncape.gov.za/service/masakhisizwe-bursary-programme","https://wa-dtpw-misbursary-prod-zan.azurewebsites.net/","https://www.zabursaries.co.za/government-bursaries-south-africa/masakhisizwe-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"NESP Scholarship South Africa 2024","Construction & Built Environment; Medical","NESP Scholarship South Africa 2024","31 October 2023","https://www.ru.ac.za/dhetnespapplication/","https://www.ru.ac.za/dhetnespapplication/","https://www.zabursaries.co.za/mba-postgraduate/nesp-scholarship/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"Nkangala District Municipality Bursary South Africa 2026","Construction & Built Environment","NKANGALA DISTRICT MUNICIPALITY","14 November 2025","https://www.zabursaries.co.za/government-bursaries-south-africa/nkangala-district-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/nkangala-district-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/nkangala-district-municipality-bursary/","https://www.zabursaries.co.za/construction-and-built-environment-bursaries-south-africa/"
"ADvTECH Student Teacher Bursary South Africa 2022 - 2023","Education","ADvTECH Student Teacher Bursary South Africa 2022 - 2023","16 November 2021","https://advtech.ci.hr/applicant/index.php","https://advtech.ci.hr/applicant/index.php","https://www.zabursaries.co.za/education-bursaries-south-africa/advtech-student-teacher-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Association for Educational Transformation (ASSET) Bursary South Africa 2025","Education","ASSET","30 September 2024","mailto:bursary@asset.org.za | mailto: bursary@asset.org.za","https://www.zabursaries.co.za/general-bursaries-south-africa/asset-association-for-educational-transformation-sa-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/asset-association-for-educational-transformation-sa-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Barloworld Education Trust Bursary South Africa 2021 - 2022","Education","Barloworld Education Trust Bursary South Africa 2021 - 2022","","https://www.zabursaries.co.za/general-bursaries-south-africa/barloworld-bursary-south-africa/","https://www.zabursaries.co.za/general-bursaries-south-africa/barloworld-bursary-south-africa/","https://www.zabursaries.co.za/general-bursaries-south-africa/barloworld-bursary-south-africa/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Black Mountain Study Trust Bursary South Africa 2024","Education; Medical","Black Mountain Study Trust Bursary South Africa 2024","8 December 2023","https://www.zabursaries.co.za/engineering-bursaries-south-africa/black-mountain-bursary/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/black-mountain-bursary/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/black-mountain-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Brain-Jar Skills Development Bursary South Africa 2022 - 2023","Education","Brain-Jar Skills Development Bursary South Africa 2022 - 2023","31 December 2021","mailto:apply@brainjarskillsdev.co.za | mailto: apply@brainjarskillsdev.co.za | https://brainjarskillsdev.co.za/wp-content/uploads/2021/07/Application-form.pdf | https://brainjarskillsdev.co.za/wp-content/uploads/2021/09/Bursary-2021-Terms-Conditions.pdf","https://brainjarskillsdev.co.za/wp-content/uploads/2021/07/Application-form.pdf","https://www.zabursaries.co.za/education-bursaries-south-africa/brain-jar-skills-development-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Canon Collins RMTF Scholarship South Africa 2026","Education","Canon Collins RMTF Scholarship South Africa 2026","9 September 2025","https://canoncollins.org/scholarships/canon-collins-south-africa/ | https://canoncollins.ams3.digitaloceanspaces.com/media/2025/08/06090211/Canon-Collins-scholarships-guidelines-2026.pdf","https://canoncollins.org/scholarships/canon-collins-south-africa/","https://www.zabursaries.co.za/mba-postgraduate/canon-collins-rmtf-scholarship/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Canon Collins Sol Plaatje Scholarship South Africa 2025","Education; General; Law","Canon Collins Sol Plaatje Scholarship South Africa 2025","22 July 2024","https://www.gapgrants.com/bslgap/DseatFFX.jsp | https://canoncollins.ams3.digitaloceanspaces.com/media/2024/06/10114935/Canon-Collins-Sol-Plaatje-South-Africa_scholarships-guidelines-2024.pdf","https://www.gapgrants.com/bslgap/DseatFFX.jsp","https://www.zabursaries.co.za/mba-postgraduate/canon-collins-sol-plaatje-scholarship/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Cida Empowerment Trust Bursary South Africa 2021 - 2022","Education","Cida Empowerment Trust Bursary South Africa 2021 - 2022","18 June 2018","https://ee.kobotoolbox.org/single/::ReuJ8SSH","https://ee.kobotoolbox.org/single/::ReuJ8SSH","https://www.zabursaries.co.za/education-bursaries-south-africa/cida-empowerment-trust-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Cyril Ramaphosa Education Trust (CRET) Bursary South Africa 2025","Education","CYRIL RAMAPHOSA FOUNDATION & CRET","13 December 2024","https://forms.office.com/Pages/ResponsePage.aspx | https://www.sassagrants.co.za/types-of-sassa-grants/older-persons-grant/ | https://pluggedin.standardbank.co.za/home","https://forms.office.com/Pages/ResponsePage.aspx","https://www.zabursaries.co.za/general-bursaries-south-africa/cyril-ramaphosa-education-trust-cret-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Epilepsy South Africa Educational Trust Bursary 2025","Education","EPILEPSY SOUTH AFRICA","31 October 2024","mailto:educationaltrust@epilepsy.org.za | mailto: educationaltrust@epilepsy.org.za","https://www.zabursaries.co.za/general-bursaries-south-africa/epilepsy-south-africa-educational-trust-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/epilepsy-south-africa-educational-trust-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Exxaro Bursary South Africa 2026","Education; Medical","EXXARO","30 November 2025","https://exxaro-learnership.erecruit.co/candidateapp/Jobs/View/EXX251104-3","https://exxaro-learnership.erecruit.co/candidateapp/Jobs/View/EXX251104-3","https://www.zabursaries.co.za/engineering-bursaries-south-africa/exxaro-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Funza Lushaka Bursary South Africa 2025","Education","DEPARTMENT OF BASIC EDUCATION","26 January 2025","https://www.eservices.gov.za/ | https://www.eservices.gov.za/tonkana/registration/consent.jsf | https://www.eservices.gov.za/tonkana/login/home.jsf | https://www.funzalushaka.doe.gov.za/Content/Documents/Funza%20Lushaka%20Bursary%20Application%20Notes%202025.pdf","https://www.eservices.gov.za/","https://www.zabursaries.co.za/education-bursaries-south-africa/the-funza-lushaka-bursary-programme-south-africa/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Globeleq Scholarships South Africa 2025","Education","Globeleq Scholarships South Africa 2025","30 October 2024","https://globeleq.auraams.app/ | https://drive.google.com/uc","https://globeleq.auraams.app/","https://www.zabursaries.co.za/engineering-bursaries-south-africa/globeleq-scholarship/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"IDB Education Trust Bursary Loan South Africa 2021 - 2022","Education; Medical","IDB Education Trust Bursary Loan South Africa 2021 - 2022","","mailto:info@idb.org.za | https://s.w.org/images/core/emoji/17.0.2/72x72/ | https://s.w.org/images/core/emoji/17.0.2/svg/","https://s.w.org/images/core/emoji/17.0.2/72x72/","https://www.zabursaries.co.za/general-bursaries-south-africa/idb-education-trust-bursary-loan/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"Jakes Gerwel Fellowship Bursary South Africa 2024","Education","JAKES GERWEL FELLOWSHIP","","https://apply.jgfellowship.org/ | https://www.jgfellowship.org/nominate/","https://apply.jgfellowship.org/","https://www.zabursaries.co.za/education-bursaries-south-africa/jakes-gerwel-fellowship-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
"JB Marks Education Trust Fund Bursary South Africa 2025","Education","JB MARKS EDUCATION TRUST FUND","1 July 2024","https://applications.jbmarksedutrust.co.za/apply/","https://applications.jbmarksedutrust.co.za/apply/","https://www.zabursaries.co.za/general-bursaries-south-africa/jb-marks-education-trust-fund-bursary/","https://www.zabursaries.co.za/education-bursaries-south-africa/"
